time,open,high,low,close,Volume,Volume MA
2004-08-10T09:00:00Z,206.03999,209.88,204.53,209.88,NaN,NaN
2004-08-11T09:00:00Z,211.42999,214.28999,206.42,208.58,NaN,NaN
2004-08-13T09:00:00Z,208.37,208.37,201.61,203.89999,NaN,NaN
2004-08-16T09:00:00Z,204.24001,208.14999,203.75999,208.14999,NaN,NaN
2004-08-17T09:00:00Z,209.14999,212.08,207.8,207.8,NaN,NaN
2004-08-18T09:00:00Z,208.02,212.42,207.32001,209.17999,NaN,NaN
2004-08-19T09:00:00Z,209.98,211.07001,207.75999,208.03,NaN,NaN
2004-08-20T09:00:00Z,207.87,209.52,206.7,208.41,NaN,NaN
2004-08-26T09:00:00Z,205.02,206.87,203.53999,206.77,NaN,NaN
2004-08-27T09:00:00Z,208.22,210.97,205.48,210.42,NaN,NaN
2004-08-30T09:00:00Z,210.98,213.7,209.53999,210.17999,NaN,NaN
2004-08-31T09:00:00Z,211.17,215.86,211.16,214.49001,NaN,NaN
2004-09-01T09:00:00Z,215.34,216.23,211.57001,212.46001,NaN,NaN
2004-09-02T09:00:00Z,212.83,214.12,208.53,208.72,NaN,NaN
2004-09-03T09:00:00Z,209.62,210.64999,204.91,206,NaN,NaN
2004-09-06T09:00:00Z,206.13,208.61,205.96001,207.95,NaN,NaN
2004-09-07T09:00:00Z,208.75,212.42999,208.75,211.42,NaN,NaN
2004-09-08T09:00:00Z,211.42,213.71001,210.32001,211.22,NaN,NaN
2004-09-09T09:00:00Z,211.63,214.07001,211.23,212.78999,NaN,NaN
2004-09-10T09:00:00Z,213.27,214.33,209.89999,211.53,NaN,NaN
2004-09-13T09:00:00Z,212.11,215.10001,212.11,213.92999,NaN,NaN
2004-09-14T09:00:00Z,213.92999,216.44,213.49001,215.44,NaN,NaN
2004-09-15T09:00:00Z,215.72,219.02,215.64,217.67,NaN,NaN
2004-09-16T09:00:00Z,218.92,220.14999,217.5,218.13,NaN,NaN
2004-09-17T09:00:00Z,218.75999,218.75999,216.09,217.39,NaN,NaN
2004-09-20T09:00:00Z,218.22,219.17999,214.63,214.63,NaN,NaN
2004-09-21T09:00:00Z,215.45,215.89,213,213.21001,NaN,NaN
2004-09-22T09:00:00Z,214.07001,215.37,212.78,213.86,NaN,NaN
2004-09-23T09:00:00Z,213.63,215.49001,208.69,212.94,NaN,NaN
2004-09-24T09:00:00Z,212.94,214.96001,211.42999,213.78999,NaN,NaN
2004-09-27T09:00:00Z,215.03999,216.71001,213.55,214.56,NaN,NaN
2004-09-28T09:00:00Z,214.53999,215.75,210.17,213.33,NaN,NaN
2004-09-29T09:00:00Z,213.88,214.58,211.64,213.27,NaN,NaN
2004-09-30T09:00:00Z,213.82001,215.47,211.77,213.48,NaN,NaN
