time,open,high,low,close
2005-05-04T09:00:00+07:00,468.75,470.20001,465.54999,470.01001
2005-05-06T09:00:00+07:00,473.44,480.85001,471.92999,480.85001
2005-05-09T09:00:00+07:00,483.79999,483.91,475.98999,479.12
2005-05-10T09:00:00+07:00,480.14999,480.63,472.01001,472.82001
2005-05-11T09:00:00+07:00,472.54001,474.85001,468.82999,474.85001
2005-05-12T09:00:00+07:00,475.89001,476.70001,472.70001,472.70001
2005-05-13T09:00:00+07:00,473.38,476.03,470.45999,470.67999
2005-05-16T09:00:00+07:00,469.92001,469.92001,465.39999,465.70999
2005-05-17T09:00:00+07:00,467.07001,467.07001,457.78,460.60999
2005-05-18T09:00:00+07:00,461.98001,465.67001,461.67999,465.44
2005-05-19T09:00:00+07:00,470.29999,471.95999,467.95001,468.97
2005-05-20T09:00:00+07:00,468.82999,468.82999,463.98999,463.98999
2005-05-24T09:00:00+07:00,464.44,465.35999,458.38,458.89001
2005-05-25T09:00:00+07:00,458.67001,461.14999,455.73999,457.23001
2005-05-26T09:00:00+07:00,457.23999,457.88,449.26001,457.88
2005-05-27T09:00:00+07:00,460.37,460.39001,456.59,458.23001
2005-05-30T09:00:00+07:00,459.29001,462.95999,457.95001,462.95999
2005-05-31T09:00:00+07:00,462.73001,462.73001,458.03,461.84
2005-06-01T09:00:00+07:00,461.56,463.38,459.16,462.60001
2005-06-02T09:00:00+07:00,462.75,467.95999,462.75,466.48999
2005-06-03T09:00:00+07:00,467.76001,470.62,466.31,469.63
2005-06-06T09:00:00+07:00,469.42999,474.38,469.13,474.38
2005-06-07T09:00:00+07:00,474.38,475.92999,472.23999,473.85999
2005-06-08T09:00:00+07:00,473.89001,477.91,473.89001,476.20001
2005-06-09T09:00:00+07:00,476.16,476.42999,470.81,470.81
2005-06-10T09:00:00+07:00,471.88,474.13,470.31,473.64001
2005-06-13T09:00:00+07:00,473.72,474.54001,469.42999,469.42999
2005-06-14T09:00:00+07:00,469.42999,477.20999,469.42999,477.06
2005-06-15T09:00:00+07:00,477.76999,480.01999,476.25,479.88
2005-06-16T09:00:00+07:00,480.32999,480.32999,475.64999,479.41
2005-06-17T09:00:00+07:00,480.44,481.95999,478.66,479.17999
2005-06-20T09:00:00+07:00,479.32001,480.31,475.13,475.13
2005-06-21T09:00:00+07:00,474.14999,483.92999,473.44,483.12
2005-06-22T09:00:00+07:00,483.12,485.54001,480.45999,480.54001
2005-06-23T09:00:00+07:00,481.95999,487.42001,481.95999,486.38
2005-06-24T09:00:00+07:00,485.35001,486.95999,483.13,483.13
2005-06-27T09:00:00+07:00,484.04999,484.04999,477.84,478.37
2005-06-28T09:00:00+07:00,478.95999,481.39001,477.48001,478.75
2005-06-29T09:00:00+07:00,479.32001,483.72,479.14001,479.45001
2005-06-30T09:00:00+07:00,479.98999,480.57999,471.66,471.66
2005-07-04T09:00:00+07:00,471.45001,472.48999,464.53,469.14001
2005-07-05T09:00:00+07:00,469.09,469.17001,463.64001,463.95999
2005-07-06T09:00:00+07:00,465.48999,466.22,459.67001,461.57999
2005-07-07T09:00:00+07:00,459.54999,460.23001,445.42001,446.03
2005-07-08T09:00:00+07:00,445.35999,450.32001,440.29001,450.32001
2005-07-11T09:00:00+07:00,456.01999,456.73999,448.39001,448.70999
2005-07-12T09:00:00+07:00,451.54001,456.92001,451.26999,455.56
2005-07-13T09:00:00+07:00,456.29001,463.10001,454.76001,463.10001
2005-07-14T09:00:00+07:00,465.60001,467.76999,462.37,465.01001
2005-07-15T09:00:00+07:00,464.22,464.22,459.69,460.32001
2005-07-18T09:00:00+07:00,461.03,461.87,456.14999,458.41
2005-07-19T09:00:00+07:00,458.41,460.44,454.76001,454.76001
2005-07-20T09:00:00+07:00,457.26001,457.85001,453.70001,456.31
2005-07-21T09:00:00+07:00,456.88,457.32999,453.69,455.17001
2005-07-25T09:00:00+07:00,458.22,463.95001,458.07999,463.95001
2005-07-26T09:00:00+07:00,464.09,464.29001,460.23001,461.60999
2005-07-27T09:00:00+07:00,462.09,468.79999,460.78,468.79999
2005-07-28T09:00:00+07:00,468.89999,477.5,468.89999,472.32001
2005-07-29T09:00:00+07:00,474.07001,478.07999,473.73999,477.14999
2005-08-01T09:00:00+07:00,478.37,478.69,472.92001,476.88
2005-08-02T09:00:00+07:00,479.38,485.41,478.57999,484.39999
2005-08-03T09:00:00+07:00,488.73001,490.45001,483.53,487.82999
2005-08-04T09:00:00+07:00,490.23001,491.72,484.39999,484.39999
2005-08-05T09:00:00+07:00,484.20001,487.51001,481.34,485.19
2005-08-08T09:00:00+07:00,485.57001,486.67001,482.92999,485.31
2005-08-09T09:00:00+07:00,486.09,488.79001,481.91,481.91
2005-08-10T09:00:00+07:00,485.62,486.48001,483.01001,484.16
2005-08-11T09:00:00+07:00,484.51001,485.84,481.38,481.38
2005-08-15T09:00:00+07:00,481.10001,481.10001,474.73001,477.48001
2005-08-16T09:00:00+07:00,477.48001,480.32999,469.48001,470.25
2005-08-17T09:00:00+07:00,467.92999,472.35001,466.14001,471.01001
2005-08-18T09:00:00+07:00,474.60999,476.97,470.89001,475.01001
2005-08-19T09:00:00+07:00,480.04999,482.16,475,482.16
2005-08-22T09:00:00+07:00,482.16,490.39001,481.23999,490.39001
2005-08-23T09:00:00+07:00,495.34,496.63,488.92999,489.79999
2005-08-24T09:00:00+07:00,491.04999,496.69,488.41,494.04001
2005-08-25T09:00:00+07:00,496.31,497.23001,491.39999,491.39999
2005-08-26T09:00:00+07:00,491.95999,495.97,488.76999,494.73999
2005-08-29T09:00:00+07:00,492.82001,495.19,487.56,491.42001
2005-08-30T09:00:00+07:00,489.64001,492.34,488.41,491.92999
2005-08-31T09:00:00+07:00,493.73999,496.62,491.13,495.78
2005-09-01T09:00:00+07:00,499.60001,505.57001,495.78,505.57001
2005-09-02T09:00:00+07:00,503.70999,507.22,501.75,505.26999
2005-09-05T09:00:00+07:00,505.28,507.32001,502.98999,503.07999
2005-09-06T09:00:00+07:00,503.07999,507.09,499.78,500.78
2005-09-07T09:00:00+07:00,500.78,507,500.78,502.69
2005-09-08T09:00:00+07:00,502.92999,508.87,500.76001,507.79001
2005-09-09T09:00:00+07:00,510.95999,510.95999,505.19,505.51999
2005-09-12T09:00:00+07:00,505.51999,509.66,505,505.39001
2005-09-13T09:00:00+07:00,504.97,506.35999,501.10001,502.89001
2005-09-14T09:00:00+07:00,502.69,507.91,502.69,507.91
2005-09-15T09:00:00+07:00,508.89999,509.62,502.56,502.56
2005-09-16T09:00:00+07:00,502.56,503.14001,496.97,500.17999
2005-09-19T09:00:00+07:00,502.47,504.09,500.17001,500.92999
2005-09-20T09:00:00+07:00,508.09,513.47998,503.23999,513.47998
2005-09-21T09:00:00+07:00,513.39001,514.97998,509.67001,510.92999
2005-09-22T09:00:00+07:00,511.44,514.62,510.62,514.62
2005-09-23T09:00:00+07:00,512.77002,514.78998,511.67999,513.59003
2005-09-26T09:00:00+07:00,513.13,513.69,508.82001,509.91
2005-09-27T09:00:00+07:00,513.42999,514.75,510.88,512.65002
2005-09-28T09:00:00+07:00,512.88,514.71997,511.14999,511.94
2005-09-29T09:00:00+07:00,509.97,514.13,508.79001,511.57001
2005-09-30T09:00:00+07:00,512.73999,513.03998,508.51001,511.89001
2005-10-03T09:00:00+07:00,505.98999,511.54001,504.84,507.26999
2005-10-04T09:00:00+07:00,507,507.89001,504.19,504.45001
2005-10-05T09:00:00+07:00,506.07999,507.76001,504.16,505.89001
2005-10-06T09:00:00+07:00,503.56,505.89001,499.75,500.60999
2005-10-07T09:00:00+07:00,498.88,500.64001,497.64001,498.67001
2005-10-10T09:00:00+07:00,499.17999,502.07999,497.29999,497.29999
2005-10-11T09:00:00+07:00,497.62,501.14999,496.17999,499.10999
2005-10-12T09:00:00+07:00,500.95001,504.39001,498.60001,499.23999
2005-10-13T09:00:00+07:00,496.54001,499.34,494.35999,495.01001
2005-10-14T09:00:00+07:00,493.44,494.79999,490.51001,491.04999
2005-10-17T09:00:00+07:00,491.73001,492.59,487.51001,488.29999
2005-10-18T09:00:00+07:00,490.59,491.62,486.92001,487.26999
2005-10-19T09:00:00+07:00,482.85001,486.29999,477.84,478.10001
2005-10-21T09:00:00+07:00,473.41,479.98999,471.31,479.98999
2005-10-25T09:00:00+07:00,480.94,481.39999,472.17999,472.17999
2005-10-26T09:00:00+07:00,474.13,480.29999,474.07001,478.89001
2005-10-27T09:00:00+07:00,478.59,479.76001,476.26999,479.53
2005-10-28T09:00:00+07:00,477.72,477.87,474.92999,477.23999
2005-10-31T09:00:00+07:00,477.95999,478.35999,474.12,477.39999
2005-11-01T09:00:00+07:00,484.39001,486.73999,477.10999,485.51999
2005-11-02T09:00:00+07:00,485.85001,491.25,485.85001,490.76001
2005-11-03T09:00:00+07:00,494.28,495.54999,490.76001,495.39001
2005-11-04T09:00:00+07:00,498.04999,499.41,493.64001,496.73999
2005-11-07T09:00:00+07:00,496.73999,496.73999,489.20001,491.92999
2005-11-08T09:00:00+07:00,491.51999,492.06,486.66,487.75
2005-11-09T09:00:00+07:00,487.98001,489.57999,484.72,488.48001
2005-11-10T09:00:00+07:00,488.45999,488.47,484.39999,486.72
2005-11-11T09:00:00+07:00,486.62,486.62,482.57999,483.31
2005-11-14T09:00:00+07:00,478.23001,478.88,475.31,477.73001
2005-11-15T09:00:00+07:00,477.22,480.56,471.95999,476.56
2005-11-16T09:00:00+07:00,476.20999,476.20999,470.42999,471.45001
2005-11-18T09:00:00+07:00,471.73999,472.64999,468.44,472.59
2005-11-21T09:00:00+07:00,474.12,474.39999,468.73999,470.04001
2005-11-22T09:00:00+07:00,470.34,471.92999,468.85001,471.72
